iter	Passed	Remaining
541	2453	2073
542	2457	2068
543	2461	2063
544	2466	2058
545	2472	2055
546	2476	2051
547	2481	2046
548	2485	2041
549	2489	2036
550	2493	2031
551	2497	2026
552	2501	2021
553	2505	2017
554	2509	2012
555	2513	2007
556	2517	2002
557	2521	1997
558	2525	1992
559	2532	1990
560	2537	1985
561	2541	1980
562	2545	1975
563	2549	1971
564	2553	1966
565	2557	1961
566	2561	1956
567	2565	1951
568	2569	1946
569	2574	1942
570	2579	1938
571	2583	1933
572	2588	1928
573	2592	1924
574	2596	1919
575	2602	1915
576	2606	1910
577	2610	1906
578	2614	1901
579	2618	1896
580	2623	1891
581	2627	1886
582	2630	1881
583	2635	1877
584	2642	1874
585	2645	1869
586	2650	1864
587	2654	1859
588	2657	1854
589	2662	1849
590	2665	1844
591	2670	1840
592	2674	1835
593	2678	1830
594	2682	1826
595	2686	1821
596	2690	1816
597	2695	1812
598	2701	1808
599	2706	1804
600	2710	1799
601	2714	1794
602	2718	1789
603	2722	1785
604	2726	1780
605	2730	1775
606	2735	1770
607	2739	1765
608	2743	1761
609	2747	1756
610	2751	1751
611	2755	1747
612	2760	1742
613	2765	1738
614	2770	1734
615	2774	1729
616	2778	1724
617	2782	1720
618	2786	1715
619	2791	1710
620	2795	1705
621	2799	1701
622	2804	1697
623	2810	1693
624	2814	1688
625	2818	1683
626	2822	1679
627	2826	1674
628	2830	1669
629	2834	1664
630	2838	1660
631	2842	1655
632	2846	1650
633	2850	1645
634	2854	1641
635	2858	1636
636	2863	1631
637	2869	1628
638	2874	1624
639	2878	1619
640	2883	1614
641	2887	1609
642	2891	1605
643	2895	1600
644	2898	1595
645	2903	1590
646	2907	1586
647	2911	1581
648	2915	1576
649	2919	1571
650	2923	1567
651	2927	1562
652	2933	1558
653	2937	1554
654	2942	1549
655	2945	1544
656	2950	1540
657	2954	1535
658	2958	1530
659	2962	1526
660	2966	1521
661	2970	1516
662	2974	1512
663	2978	1507
664	2983	1502
665	2987	1498
666	2993	1494
667	2998	1490
668	3002	1485
669	3006	1480
670	3011	1476
671	3015	1471
672	3019	1467
673	3024	1462
674	3028	1458
675	3032	1453
676	3037	1449
677	3043	1445
678	3047	1440
679	3051	1435
680	3055	1431
681	3060	1426
682	3064	1422
683	3068	1417
684	3072	1412
685	3076	1408
686	3080	1403
687	3085	1399
688	3089	1394
689	3094	1390
690	3099	1386
691	3104	1381
692	3109	1377
693	3113	1372
694	3117	1368
695	3121	1363
696	3126	1358
697	3130	1354
698	3134	1349
699	3138	1345
700	3143	1340
701	3147	1336
702	3151	1331
703	3155	1326
704	3162	1323
705	3166	1318
706	3171	1314
707	3176	1309
708	3180	1305
709	3184	1300
710	3188	1296
711	3192	1291
712	3197	1287
713	3201	1282
714	3205	1277
715	3210	1273
716	3214	1268
717	3218	1264
718	3223	1259
719	3227	1255
720	3232	1250
721	3236	1246
722	3241	1241
723	3245	1237
724	3249	1232
725	3253	1227
726	3257	1223
727	3261	1218
728	3265	1213
729	3271	1210
730	3276	1205
731	3280	1200
732	3284	1196
733	3288	1191
734	3292	1187
735	3297	1182
736	3301	1178
737	3305	1173
738	3310	1169
739	3314	1164
740	3318	1160
741	3323	1155
742	3328	1151
743	3334	1147
744	3338	1142
745	3343	1138
746	3347	1133
747	3351	1129
748	3355	1124
749	3359	1119
750	3363	1115
751	3367	1110
752	3371	1106
753	3375	1101
754	3380	1096
755	3384	1092
756	3388	1087
757	3395	1084
758	3399	1079
759	3404	1075
760	3408	1070
761	3412	1065
762	3417	1061
763	3421	1056
764	3425	1052
765	3429	1047
766	3433	1043
767	3438	1038
768	3442	1034
769	3446	1029
770	3451	1025
771	3457	1021
772	3461	1016
773	3465	1011
774	3469	1007
775	3473	1002
776	3478	998
777	3482	993
778	3487	989
779	3491	984
780	3495	980
781	3499	975
782	3504	971
783	3508	966
784	3512	962
785	3518	957
786	3522	953
787	3526	948
788	3530	944
789	3535	939
790	3539	935
791	3543	930
792	3547	926
793	3552	921
794	3557	917
795	3563	913
796	3568	908
797	3572	904
798	3576	899
799	3580	895
800	3585	890
801	3589	886
802	3593	881
803	3597	877
804	3601	872
805	3606	868
806	3610	863
807	3614	858
808	3619	854
809	3626	850
810	3630	846
811	3634	841
812	3638	837
813	3643	832
814	3647	827
815	3651	823
816	3655	818
817	3659	814
818	3663	809
819	3667	805
820	3672	800
821	3676	796
822	3680	791
823	3687	787
824	3692	783
825	3696	778
826	3700	774
827	3705	769
828	3709	765
829	3713	760
830	3717	756
831	3721	751
832	3726	747
833	3730	742
834	3734	737
835	3739	733
836	3742	728
837	3749	724
838	3754	720
839	3758	715
840	3762	711
841	3767	706
842	3771	702
843	3775	697
844	3779	693
845	3783	688
846	3787	684
847	3794	680
848	3798	675
849	3802	671
850	3806	666
851	3810	661
852	3815	657
853	3820	653
854	3824	648
855	3828	644
856	3832	639
857	3836	634
858	3840	630
859	3844	625
860	3848	621
861	3854	617
862	3859	612
863	3863	608
864	3867	603
865	3871	599
866	3875	594
867	3879	589
868	3883	585
869	3888	580
870	3892	576
871	3896	571
872	3900	567
873	3905	563
874	3909	558
875	3913	554
876	3920	549
877	3924	545
878	3928	540
879	3933	536
880	3937	531
881	3941	527
882	3945	522
883	3949	518
884	3954	513
885	3958	509
886	3962	504
887	3967	500
888	3971	495
889	3975	491
890	3984	487
891	3988	482
892	3993	478
893	3997	474
894	4001	469
895	4006	465
896	4010	460
897	4014	456
898	4019	451
899	4028	447
900	4033	443
901	4037	438
902	4041	434
903	4046	429
904	4050	425
905	4054	420
906	4058	416
907	4062	411
908	4067	407
909	4071	402
910	4075	398
911	4080	393
912	4085	389
913	4090	384
914	4094	380
915	4099	375
916	4103	371
917	4108	366
918	4112	362
919	4116	357
920	4120	353
921	4124	348
922	4128	344
923	4132	339
924	4136	335
925	4140	330
926	4144	326
927	4151	322
928	4155	317
929	4160	313
930	4164	308
931	4168	304
932	4172	299
933	4176	295
934	4181	290
935	4185	286
936	4189	281
937	4193	277
938	4197	272
939	4202	268
940	4206	263
941	4211	259
942	4215	254
943	4220	250
944	4224	245
945	4228	241
946	4233	236
947	4238	232
948	4242	227
949	4246	223
950	4250	219
951	4255	214
952	4259	210
953	4263	205
954	4268	201
955	4272	196
956	4276	192
957	4280	187
958	4284	183
959	4288	178
960	4292	174
961	4296	169
962	4301	165
963	4305	160
964	4309	156
965	4315	151
966	4320	147
967	4324	142
968	4328	138
969	4333	134
970	4337	129
971	4341	125
972	4345	120
973	4349	116
974	4354	111
975	4358	107
976	4362	102
977	4366	98
978	4370	93
979	4374	89
980	4381	84
981	4385	80
982	4389	75
983	4394	71
984	4398	66
985	4402	62
986	4406	58
987	4410	53
988	4415	49
989	4419	44
990	4423	40
991	4427	35
992	4431	31
993	4436	26
994	4442	22
995	4447	17
996	4451	13
997	4455	8
998	4459	4
999	4463	0
